Tracks,Stations
1,"['Roermond', 'Weert', 'Eindhoven', 'Helmond', 'Venlo']"
2,"['Den Haag HS', 'Delft', 'Den Haag Laan v NOI', 'Leiden Centraal', 'Heemstede-Aerdenhout', 'Haarlem', 'Beverwijk', 'Castricum', 'Alkmaar', 'Den Helder']"
3,"['Hilversum', 'Almere Centrum', 'Lelystad Centrum']"
4,"['Enschede', 'Hengelo', 'Almelo', 'Deventer', 'Apeldoorn', 'Amersfoort', 'Zwolle', 'Assen', 'Groningen']"
5,['Helmond']
6,"['Zutphen', 'Dieren', 'Arnhem Centraal', 'Ede-Wageningen', 'Utrecht Centraal', 'Hilversum', 'Amsterdam Amstel', 'Amsterdam Zuid', 'Schiphol Airport', 'Leiden Centraal', 'Den Haag Centraal', 'Delft', 'Schiedam Centrum', 'Rotterdam Blaak', 'Rotterdam Alexander']"
7,"['Arnhem Centraal', 'Nijmegen', 'Oss', 's-Hertogenbosch', 'Tilburg', 'Breda', 'Etten-Leur', 'Roosendaal', 'Vlissingen']"
8,"['Schiphol Airport', 'Utrecht Centraal', 'Amersfoort']"
9,"['Amsterdam Sloterdijk', 'Haarlem']"
10,"['Den Haag Centraal', 'Gouda', 'Den Haag HS', 'Leiden Centraal', 'Alphen a/d Rijn', 'Gouda', 'Den Haag Laan v NOI']"
11,"['Alphen a/d Rijn', 'Utrecht Centraal', 'Amsterdam Centraal', 'Almere Centrum', 'Amsterdam Amstel', 'Amsterdam Centraal', 'Amsterdam Sloterdijk', 'Amsterdam Zuid']"
12,"['Beverwijk', 'Zaandam', 'Hoorn', 'Alkmaar']"
13,"['Dordrecht', 'Breda']"
14,"['Roosendaal', 'Dordrecht', 'Rotterdam Centraal', 'Rotterdam Alexander', 'Gouda', 'Utrecht Centraal', 's-Hertogenbosch', 'Eindhoven', 'Tilburg']"
15,"['Heerlen', 'Sittard', 'Maastricht']"
16,['Den Helder']
17,['Leiden Centraal']
18,"['Rotterdam Centraal', 'Schiedam Centrum']"
19,"['Apeldoorn', 'Zutphen', 'Deventer', 'Zwolle', 'Steenwijk', 'Heerenveen', 'Leeuwarden', 'Groningen']"
Score:,5982.842696629214
